,Body,Year,Positive,Neutral,Negative,Compound
92,"our offline purchases as the saying says.... bbbmtl! (buy buy buy mai tu liao!) especially when there is a sale... since there is not much of a difference if you buy now or later... since there is a sale... might as well! especially if it is a necessity and not want for your new home. for furniture, since ours a mainly a scandinavian theme, we go for mostly pencil leg furniture... which makes our living space looks bigger. tip: - sign up for robinson ocbc card, it will be very useful especially the additional 5% cash rebates + close door sales for members! - takashimaya vouchers is very valuable as it has no expiry date! so store it for your new home purchases! any other vouchers like robinsons voucher also very valuable to save further for your home needs purchase. furnitures: 1. comfort design furniture - http://www.comfortfurniture.com.sg/ we find their prices slightly more competitive than castlery. quality wise is still very decent for this price. we bought our sofa set, dining table set (bench + 2 chairs), small coffee table. 2. scanteak - http://www.scanteak.com.sg/ this is more of a want... as i quite love the solid build of their furniture, so decided to splurge on their bed frame for the master bedroom and also a small sturdy table that is on sale to hold my dry cabinet of my precious camera equipment. 3. muji - http://www.muji.com.sg/ my wife love their stand mirror (full length), since we got a $30 313 voucher which we got from the purchase of a sony tv, might as well! 4. robinsons - http://robinsons.com.sg/ we missed out on their black friday sale to purchase their simmons backcare 4 series mattress which goes as low as $3.2k after discounts and members rebate as my friend's card limit wasn't enough, and that pushes me to go apply the card myself lol. we placed a $200 deposit with robinson bedshop (look for sheila if you want to purchase simmons mattress) at their heeren branch. this effectively locks their price (which ever is lower when there is a promo). so as of now we are still waiting for their additional 10% card member rebate... we also bought loads of other stuffs which i will cover later below. 5. inkagu - https://www.inkagu.com/products/shin-ju-mattress always see their special price mattress ad on facebook and since it cost only $299... so bbbmtl, this is for our guestroom. 6. ki-mono - http://www.ki-mono.net a pity they are closing down... they have very nice japanese theme furnitures which we can match our scandinavian theme. we bought a rack for kitchen use and also a clothe rack at very attractive closing down sale price. appliances: 1. sony store @ 313 just happens so... my buddy's wife works at sony so yes! we can get staff price. bought sony tv kdl-55w800c at $1.2k+! cheap right? 2. heritage bathroom gallery ironically we didn't buy any bathroom stuffs from them but bought from them a fujioh hob & hood set and bosch oven ($50 cheaper than other shops we went!). 3. gain city initially we wanted to buy our electrolux washing machine & dryer from paris silk but they cannot hold stock for us too long... so in the end we went to gain city to buy from them. price slightly higher than what was quoted by paris silk. 4. tim wong (aircon) from renotalk - for our mitsubishi starmex (2 tick) air con 5. mega discount (kallang leisure park) - https://www.megadiscountstore.com.sg/ initially we are eyeing a hitachi or mitsubishi refrigerator but after the sales person show us what a samsung fridge can do and the build quality + door test... we are sold! just hope that it doesn't *chibaboom* later! lol 6. robinsons used my wife's vouchers ($350) to buy zojirushi induction heating rice cooker np-hbq10 which is at promotion price $489 but we only paid $139! got a free rice stocker as well. 6. philips carnival sale (once a year!) bought some stuffs during the sale last year, steam garment iron + iron + toaster + kettle. 7. aosbath - https://www.aosbath.com/ bought a 40l digital model storage heater (ao smith) for convenience and electricity savings. 8. ht lighting (johor bahru, permas jaya) - http://www.htlightings.com/ bought ceiling fan aeratron ae3 50' light oak color for 1480rm, sg selling this for $1099 sgd! if anyone need their sales contact number (via whatsapp) to check price before going in to buy let me know! others: 1. hansgrohe we bought a bundle deal during their warehouse sale last year october. we was given a 25% voucher which we went to buy additional tap and shower set for the common toilet. 2. robinsons too many things to buy here especially kitchen use... le creuset, wmf, corelle, lock & lock, bodum, bedsheets etc during their member or public sale! we also make use of my wife's citibank redemption of robinson vouchers as well. i also got my ns voucher which i am keeping to buy the simmons mattress haha 3. takashimaya i accumulated $230 voucher prior to this... bought a tefal air fryer on promotion at $279... so we only paid $49 for it lol 4. ikea bought their pull out cabinet to be integrated with our kitchen cabinet. also bought accessories for kitchen use. 5. hoe kee they are the only one carrying blanco brand for kitchen sink in sg, so not much of a choice! 6. big bath (johor bahru) -http://www.bigbath.com.my/ since we went to ht lighting to buy ceiling fan, drop by here to bought some bathroom accessories from them, automatically given discount without asking haha. let me know if you need any details of our purchases above. too many purchases to go into detail here",2017,0.091,0.895,0.015,0.9969
93,hey im planning to custom make some loose furniture using teak hardwood from indonesia. anybody wants to combine? need 1 huge container minimum,2016,0.093,0.813,0.093,0.0
94,"of cuz la bro.. i also got people who told me ""why don't you take your pre-wedding shoot in malaysia.. cheaper than sg"" ""why don't you hold your banquet in malaysia or some ulu restoran.. cheaper than sg/hotel"" ""why don't you buy your furniture from taobao.. 1 dining table full solid teak 300sgd vs your retail shop 2200sgd"" i always arm chio and reply because i'm lazy and can afford it",2020,0.022,0.909,0.069,-0.5106
95,"i don't think the issue is size of the flat but how come it will cost. you'll be surprised how much a 2 room flat renovation can cost if you go crazy and use marble flooring in the toilet, oak flooring in the flat and built-in furniture made from teak. there are some contractors who are only interested in big money projects but most i think will accept small jobs. if you know exactly what you want then you just need a contractor. tell him what you want and that's it. but if you are totally clueless then you need an interior designer who will give you advice, draw out plans for you and both of you basically work out what suits you best. i think $30k is quite ok for a 2 roomer. i have a 3 roomer and my reno came up to around $52k. i went to an interior designer btw. i changed all the electrical wiring, all the water pipes, re-did the flooring (tiles in kitchen & bathroom, vinyl in the other rooms), replaced all windows, had built-in furniture, cove lights, down lights, had cat 6 rj45 ports in all rooms, feature wall at the tv console, etc. so yeah $30k seems fine for a 2 roomer.",2014,0.127,0.842,0.031,0.963
96,much appreciated thanks!,2014,0.867,0.133,0.0,0.7574
97,"depends on which part of the house you want to set up. in china and india, i still see ppl using solid wood. in taobao, some shops will tell you the natural finishing they use. not sure are they reliable though. scanteak all these sell solid wood furniture. if you really need to buy in sg those rtm cheaper solutions. particleboard release the most voc, followed by plywood then butcher blocks. rattan wood furniture are strong and good, not expensive. imo they are very good for sofa frames. kitchen is harder but kitchen should always be airy, those fumes from stir frying, braising all release carcinogens to the air. that's why many house wives got cancer. maybe the kitchen top use tiles or stainless steel. most contractors cut cost by using the cheapest material.",2015,0.102,0.808,0.09,-0.4851
98,that means no custom carpentry cabinate for kitchen and also wardrobe? since most of the time the carpentry use either soft plywood or hard ply wood. the voc from plywood is from the chemical use to process of glue the plywood together?,2015,0.0,0.91,0.09,-0.4515
99,"yeah is the glue. if custom made, by right you should be able to tell them use solid wood, and they will surely charge you crazy prices. in sea, we have many good wood, like tembusu(even sg have), teak and such. our trees here can tahan heavy rain so should be something. i believe most carpentry in sg are done in malaysia, so sourcing from there may be cheaper. i forgot about using what finish, many lacquer and oil are natural and safe to use. when you do custom made furniture, remember to never conceal your air con pipes or whatever pipes inside it. air con or whatever pipes must be as easy to replace as possible.",2015,0.158,0.823,0.019,0.9432
100,my friend's semi-d the developer already included 1 very long white corian top island extending out from 1 wall (no sink nor hob) - i have personally used that island for preparing scones for tea there before (built-in ovens in the kitchen behind) correct terminology here is a peninsula (attached on 1 side to a wall etc) and not island which is free-standing useful as partial storage for food barang barang n with drawers for cutlery n as spacious 2nd dining area for gatherings - together with the round teak dining table there right behind the island against wall is 1 sink next to the huge 2-door fridge that wall leads into the enclosed kitchen behind something like the pics below - except much longer & wider extending from wall with drawers at 1 half-end spoiler!,2016,0.077,0.923,0.0,0.8313
101,"not sure i want or need someone who specializes in customized carpentry. u mean a contractor cannot make something like this? its just a tall full height cabinet to put oven then infront of it put a freestanding counter called an ""island"". the sound of customized carpentry already sounds expensive. im not trying to build an intricate altar made with burmese teak and with carving or whatever. anyway i did meet up with contractors renotalk ppl recommended. i met the famous mr. k of h2o interior, someone whom i need to ""book"" at least 2 weeks in advance. hes not cheap and is extremely busy. i've met 11 contractors so far and will be dropping the idea of a contractor now. so done with them. today i met my 2nd id, out of 5 that qanvast recommended. its a lady and shes young and energetic, totally gets me and my concept of midcentury modern/european dark grey concept. she showed me her instagram and she did alot of projects like that, some of which i already faved on qanvast. we're totally on the same wavelength and i dont think i needed to explain to her much. she knows what ""laminate laid in herringbone pattern"" or what ""carrara marble"" looks like. now its just the price factor. definitely will be pricier or on par with contractors but its nice to meet people like that. after i meet the ones qanvast recommends, i will meet up with other ids to see the price difference and then i will decide! so yes pls feel free to pm me the contacts of yr id.",2017,0.104,0.859,0.037,0.9518
102,"a contractor need not necessarily be a carpenter. a main contractor manages the sub-cons which includes hacker, carpenter, tiler, electrician, etc. a laminate is one piece of laminate. what you mean is a herringbone pattern or a laminate that has harringbone pattern. no one cuts laminates into pieces and lay them as a herringbone pattern (laminate laid in herringbone pattern). or do you mean laminate flooring? in the industry, laminate is assumed to be the piece of laminate (one choose) as a finish on a plywood (carpentry). carpentry is customized. carpentry is made according/customized to the size, use, etc of the space.",2017,0.0,0.954,0.046,-0.5267
103,"more sharing of nice things i come across re : reno + interior dcor ideas ... some very pretty light stuff from the polyvore site in the us at s$ prices n shipping - some small items like teak panels + dcor cushions + art prints from the uk + mugs + id items etc are still affordable http://www.polyvore.com/home/shop?category_id=100 eg asian trellis only s$57.60 - instead of a metal gate for your plants - for that vertical growth green wall ? http://www.improvementscatalog.com/imp/365127 our garden trellis promotes growth for new plants and is ideal for small gardens. this elegant eucalyptus trellis makes it easy to cultivate climbing plants and flowers and its vertical design is perfect for smaller and larger outdoor areas.  the interesting cut-out design is inspired by traditional asian decor  garden trellis comes with l brackets so you can erect a freestanding display on a patio or deck [adapt for a sunny indoor wall bah ]  another option, use the included ground stakes to create a beautiful backdrop in your garden  in natural to give the illusion of plants that flourish on their own  can be used in gardens of all sizes, but works exceptionally well in small gardens since it encourages vertical growth if i had too much money to spare and would like to be pretentious/atas n sleep in rich style - maybe this s$7,499++ julia king tufted bed from haute house ? http://www.neimanmarcus.com/haute-ho...cs_003=5630585 about haute house: haute house is a hollywood-based design and manufacturing company that creates haute couture furnishings for the home. designer and owner casey fisher has been designing furniture for years as an upholstery, textile, and retail space stylist. instead of designing a line offering just one look, the haute house line consists of three looks that offer something for every taste. however, there is one element present in every haute house designa great sense of style. spoiler!",2016,0.192,0.808,0.0,0.9948
104,yes bro: it is 45cm height and 50cm depth. you can find it at teak and mahogany,2020,0.144,0.856,0.0,0.4019
105,"just want to warn nice folks here not to use this mover which my friend engaged a month ago. the company is premier transport and mover services at 22 sin ming. the sales guy and supervisor name is alex **82799482**. this alex charged them $880 to move their stuff from a holland 3 rm flat to jurong east but did not complete the job. the movers were supposed to come another day to move the rest of the stuff and help setup his teak wardrobe, wooden bed but did not keep to their promise. have also damaged some of their stuff. have been siaming my friend's call for more than 3 weeks. called the company, the secretary said boss always overseas, can only call alex to settle. they ding dong him here and there but did not solve his problem. poor guy now don't have a bed to sleep. the worst thing is he run out of budget and have 2 young children to look after. my friend and his wife are very nice and kind couple. probably too nice thus bully by these ppl. this alex is really very heartless and irresponsible, i hope nobody will use them. fyi, this company charges by hr. on the surface looks cheap but i think the workers take their own sweet time to do the job. thats how they con ppl money like what they did to my friend. be careful of such unscrupulous company. anyway some of our friends and i came out with some money to help him out. hope the mover we use from the recommendations in this forum will be better.",2016,0.202,0.689,0.109,0.9837
106,"yes moi bought from teak and co too. salesperson also called ben. pay liao then tell u 2 weeks later can deliver. after that no sound no peekture, tell u need another 2 weeks more due to shipment delay. need to keep chase and chase. nearly wanted to go case and sct for it. pui. but the cashier chio. look like some ah lian milf piakable",2021,0.076,0.834,0.09,0.2617
107,thats why you ate cai png because your money got cheated and no money to eat other thing?,2021,0.0,0.744,0.256,-0.6705
108,"kitchen and level one guest toilet, very small and doesn't come with a shower. this image has been resized.click to view original image this image has been resized.click to view original image the balcony, we will be transforming this into a cafe-ish with a glass roof and wooden decking. this image has been resized.click to view original image another perspective of the balcony, the previous owner actually installed a roller shutter. we will be keep the roller shutter but it will most likely be opened all the time since we will be building a glass roof to make it into an indoor space. this image has been resized.click to view original image we will be installing teak strips onto the steps and staircase landings. this image has been resized.click to view original image 3 bedrooms and 2 toilets on the 2nd storey. this image has been resized.click to view original image master bedroom, which comes installed with roller blinds by the previous owner. this image has been resized.click to view original image mbr with en-suite bathroom this image has been resized.click to view original image",2020,0.104,0.896,0.0,0.9493
109,"yupp, shifting to a new house! realised lots of sg items are overpriced and are imported from china directly despite claiming its made in sg. saved lots by buying from taobao. the next purchase will include a large wooden (teak) swing retailing at $1999 locally but a similar one costs only $900+ on taobao. will hoot this with the alternative forwarders since ezbuy rejected this item",2018,0.028,0.902,0.07,-0.5916
110,many local furniture shops are like that de...,2018,0.263,0.737,0.0,0.3612
111,"single slab wood is nice for study desks but if you make it into l-shape, it breaks the flow at the corner and does not look nice. unless you get the curved ones.",2020,0.153,0.847,0.0,0.6808
112,"if you're okay with used, get a solid wood/teak desk on carousell, they're r/bifl",2021,0.241,0.759,0.0,0.3612
113,mahogany vs teak lol,2020,0.483,0.517,0.0,0.4215
114,"have!! i just read 2 articles this week. 1 specialises in teak, 1 in bamboo edit: https://www.ricemedia.co/culture-people-sisters-dream-furniture-shop-sme/ can try hit them up",2020,0.0,1.0,0.0,0.0
115,"id been telling my friend about how i was shocked to realize that if i invited my whole family, plus close friends, to my hypothetical wedding and gave my hypothetical husband an equal number for his side, id have way more guests than i ever envisioned for the small wedding id want. and he chided me; according to him the wedding banquet is not for you/your marriage but for your families, to thank them for raising you to that point. as a dowry he gave his in-laws 5 tables (ie all the ang paos). like, what? first of all - how is it ok to pay a family for a human being these days? and i think even my parents would agree that if i have 5 figures to spend, its better to put it towards creating a perfect forever home, which will last two decades instead of two hours. and as for counting on ang paos (which he says will cover the costs anyway so who cares what you spend), if you wanna serve people dinner for money, open a restaurant. ang paos and wedding presents are bonuses and well wishes, and who knows how many cheapos youre related to anyway. i was invited to a wedding at mbs once; i barely knew the guy and i knew i was just a seat-filler, not to mention i was a broke student at the time. im not gonna say the admittedly meager ang pao i gave was the deciding factor, but im not sure its coincidence that neither bride nor groom spoke to me again afterwards. im personally not particularly keen on putting on a show for people i barely know, and id rather have quartz countertops and a cz ring than a 1+ ct diamond. and spending thousands on a dress youll wear once? pfft. thats a solid teak dining table right there.",2020,0.153,0.809,0.038,0.9889
116,"if you want to splurge on teak, we got a fabulous table from golden teak at tan boon liat. their factory is in surabaya though.",2020,0.176,0.824,0.0,0.5719
117,"nah. my teak wood furniture has been around for 20 years at least, and still looking good.",2020,0.15,0.777,0.073,0.3612
118,the helping hand at kovan if you want teak wood,2020,0.489,0.511,0.0,0.6908
119,"rational - king koil mattress and bed emotional - sealy posturepedic - coz we deserve the best sleep right? rational - dining table from ikea / 42 emotional - teak / suar wood table craved from a single block of wood because you love the grain and it will add character to your home rational - $1.50 - $2.00 psqf tiles for your flooring emotional - $6 - $8 psqf spanish tiles that came make even 3 room flooring shoot up to 10-12k$ you get the picture. 1. know your budget 2. know your cash flow (if you know this then you can figure out how you can spend a little more but can afford to pay for it in the coming months comfortably. note - comfortably means not giving up food, lifestyle etc) 3. talk over decisions and make them jointly.",2020,0.118,0.827,0.056,0.8269
120,"i just ship all my teak over from indonesia, probably cheaper as well",2019,0.16,0.84,0.0,0.2732
121,"http://thehelpinghand.org.sg/ its a yellow ribbon project that focuses primarily on teak furniture new and used. give them a visit, i got entire teak wood sets that were 1/4 of the price you get in the boutiques.",2018,0.0,1.0,0.0,0.0
122,"**good** - solid hard wood is the best option as they tend to be the most resilient. e.g oak, walnut, teak(most common here). also commands a high price usually. the muji oak bed frame appears to fall into this category although the legs are glued together instead of being a solid piece. still great for its price though. **okay** - rubber wood is a common hard wood here but isn't as premium as the ones listed above. tends to be susceptible to rot and does not last as long. commonly sold here with a veneer applied on it to make it appear premium. **bad** - mdf is just unwanted wood scraps and saw dust with glue added to it and then pressed into a board. also common here and sold with veneer applied to appear more premium. plywood is another example.",2018,0.056,0.91,0.034,0.4588
123,"if you like the scandinavian look check out mountain teak or ethnicraft. pricey but made of solid wood. i ordered some stuff from muji, feel it is pricey for mdf but like the design. their solid wood tables seem cheap for the materials and construction quality. but the aesthetic wasn't to my taste.",2018,0.155,0.845,0.0,0.7783
124,"depends on what is your budget or what you mean by recommended. places like lush, comfort furniture, hip van they get their stuff mostly from malaysian factories. pull aside the product branding (e.g nesthouz) and you get....hin lim sdn bhd (http://www.hinlim.com/). **in other words, overpriced malaysian furniture being sold to singaporeans under fancy brands. do yourself a favor and avoid them.** teak furniture is also similar as teak has many grades. scanteak is reasonably price for their stuff and i got no complaints so far. there is also mountain teak, originals and teak avenue but those are expensive shit. i am using a bedframe from widhardja. the quality is rough, but the wood is ok so far. have another bedframe from castlery and it was ok. ikea, i have no experience with their big items (beds, sofas or kitchen) but simple small stuff was ok. feedback on those big items tend to be mixed.",2017,0.092,0.831,0.077,0.1027
125,"the helping hand @ kovan for any teak wood furniture. the place employs ex offenders so you kinda get the 'good feeling' when you buy from there. the price is okay, sometimes they have really good deals but you have to keep a lookout of their facebook page bc thats where they announce all the deals. furniture seems to be very long lasting but most of the furniture here are towards those simple design type.",2017,0.129,0.848,0.022,0.647
126,"can check out redsagaseeds @ 21 ubi rd 1 been there and they have many old rosewood / solid teak products at quite cheap prices. probably 1 of the cheapest around i seen but if i am not mistaken, there old wood from 2nd deals.",2017,0.097,0.903,0.0,0.4525
127,"til helping hand has a movers unit, the only thing i know of them is the teak furniture. thanks for sharing the rec, will consider using them if/when i ever move.",2017,0.316,0.684,0.0,0.8779
128,&gt;why people choose laminated furniture over solid wood furniture laminate is the cheapest. it's synthetic sheet glued over engineered wood. it comes in all kinds of designs. veneer is more expensive. it's a thin sheet of real wood glued over engineered wood. solid is the most expensive since it's a single piece of wood. in singapore teak is easily available (not necessarily cheap) and quite durable. there are a number of good wood furniture dealers in tan boon liat building.,2016,0.12,0.88,0.0,0.7783
129,"haha i currently am :) i used a similar table called geekchic before, and it's really good! an oak dining table or teak is already s$1000-3000 here, this gaming table is 25%-100% more. yeah it's not cheap, but it's oak, not mdf or plywood.",2016,0.18,0.82,0.0,0.7299
130,"i think there is actually a huge opportunity for this, because the group who can visualize stuff in sketchup and who knows how to design stuff in carpentry is very small. i get most of my furniture made in indonesia, and the manufacturers designer has a bit of princess syndrome, so whenever i point out that id like something differently its weeks before i get any feedback. but i cant design to the degree that it works for three woodworkers. if you can do both then there is a huge market. in sg, if you want to have furniture that is nice (rules out most teak shops), functional (rules out designer shops) and durable (rules out ikea), youre out of luck even if you have deep pockets. and lots of singaporeans have very deep pockets. if i were you, id spend a year looking at popular furniture pieces and hone my skills in (a) rebuilding them in sketchup and (b) optimizing them. dont just design a bedframe - design a bedframe with internal cable channels so you have reading lights and charging pads built-in. etc etc. i would not go down the road of interior design - its too heavily dominated by built-in crap. but quality wooden functional furniture, made to measure - thats a largely unoccupied market.",2021,0.114,0.87,0.015,0.9623
131,second charm makes great custom teak furniture. i bought many pieces from them 6 years ago. all still look amazing.,2021,0.414,0.586,0.0,0.891
132,highly recommend custom made ones. here in singapore in might be on the pricier side but boy do they last. the teak sofa and singlewood teak table my parents bought 20+ years ago are still going strong.,2021,0.153,0.847,0.0,0.7466
133,"hi, i'm looking for teak furniture stores in singapore or even in the johor area. i would like to buy a few things but also not looking to spend a fortune so would like to shop around. appreciate the help! kat",2021,0.267,0.733,0.0,0.908
134,scanteak springs to mind.,2021,0.0,1.0,0.0,0.0
135,"we have majority of our furniture in teak and all the places (around 20 i believe) we visited were found via googles. it is really not that difficult. you may not have their catalogues published on-line but soon you start searching you realize that majority of them are in a few locations only like dempsey area, furniture mall, sungei kadut loop/ave (less popular, at least 5 shops with teak stuff), a small furniture mall on upper bukitt timah, opposite to bt natural reserve and next to the petrol station, some isolated shops within ubi industrial park, one pretty expensive on river valley rd... again, use google. there is no universal place that will satisfy your teak needs esp. if you are price-cautious.",2021,0.149,0.809,0.042,0.9375
136,"vintage teak, dempsey road",2021,0.0,1.0,0.0,0.0
137,"a lot of the ""teak"" furniture here are crap quality, shame for such a nice piece of wood. the sale people disguise the poor workmanship by saying the piece has an ""ethnic quality"" scan teak is one of the few places that seem to have a better understanding of quality.",2021,0.099,0.713,0.188,-0.6249
138,"ikea are now doing ""teak style"" furniture. i got two little outdoor coffee tables for $29 each.",2021,0.0,1.0,0.0,0.0
139,"almost all teak furniture sold in singapore comes from the jepara area in java. workmanship there varies from very bad to good, with a heavy emphasis on bad. if you go there yourself, as a foreigner and without very good knowledge, you will almost invariably get bad things at high price - and have to arrange shipment as well (which for individual items is prohibitively expensive). you also have no warranty or recourse if the items fall apart after a few months (which bad quality is bound to). if you buy from a shop here, the quality isn't necessarily better, but you have a chance to choose. it's buyer beware, so you should first learn what to look out for! for example: almost all ""outdoor"" teak available here is varnished. varnished wood is unsuitable for outdoors and will look ugly after a short while, but the varnish covers up poor wood quality, so it looks better when sold. good (or in my opinion the only acceptable) outdoor teak comes unvarnished and needs to be oiled regularly. (if you are not prepared to do that, buy plastic instead!) for indoor furniture, the most important, besides wood quality and age (which is difficult to judge for a layman), is the workmanship of the joints. if there are gaps (often filled with resin and varnished over, so look closely!) or other signs of bad fits, stay away. woodcarvings will also often crack and break if the wood is of low quality or the grains go in the wrong direction (most indonesian carvers don't know about this!). while i would not call scanteak stuff ""good quality"", it is certainly acceptable and better than most (apart from a few very high price specialty suppliers).",2021,0.078,0.781,0.141,-0.9671
140,i've always avoided buying teak wood as no-one in stores could ever tell me where the wood came from and i refuse to buy anything from myanmar and put money in the pockets of those evil bastards who run the country,2021,0.0,0.735,0.265,-0.9186
141,hii anyone ever bought teak furniture from this place..what are your views..do they have a good selection..or is there any other place to recommend ? http://roomyroom.com/html/home.html,2021,0.197,0.803,0.0,0.6597
142,"sorry can't help with the room by room place. my hubby and i bought a really nice entertainment unit from paradisa (not sure of exact name) at dempsey road. it was on the expensive side but the quality and finish is excellent. we're buying a bed there as well, which again is not cheap but in the long run will be worth it. a friend told me about a really reasonable teak seller in gillman village next to little bali. perhaps its worth checking out?",2021,0.236,0.735,0.029,0.9621
143,you can also scanteak: hawaii furnishing pte ltd address : 60 sungei kadut drive singapore 729569 phone : 63682802 fax : 63686752 email : email to hawaii furnishing pte ltd i think that they have several retail outlets around singapore but you will have to call them to find out where. i also think they are not that cheap but from what i can remember the stuff is good quality.,2021,0.058,0.942,0.0,0.5927
144,"ignore the gillman village place i previously suggested, 'mirage fine teak'. i went this afternoon to take a look and was very disappointed. completely over-priced and the finish is quite poor. while i was in the area though, i checked out 'shophouse' and was impressed. same quality as the dempsey road one i mentioned earlier but a tad bit cheaper. good luck with your search.",2021,0.165,0.745,0.09,0.7317
145,"another note about mirage fine teak in case anyone else is thinking of checking out the place. the salespeople there are a bunch of crooks! i bought an outdoor furniture set from them two years ago and recently sent it back to be refurbished. the saleswoman sharon called me back before taking delivery of the set to ask if i wanted to change the umbrella as well. i said no, it was weathered but still in good condition. after much pestering she finally said, ""fine, but i warn you it might tear because it is so old and we may not be able to put it back"". when the table and umbrella set was returned to me, the umbrella had several large gashes in it. they now insist that it was ""already like that"" and that they had called to tell me about it?! an utterly disappointing and quite ridiculous experience dealing with this bunch of crooks! don't forget that your piece of teak furniture will last a long time with the proper care so pick a shop that offers good after-care service as well. buy from a reputable place, it will save you trouble later.",2021,0.129,0.801,0.07,0.916
