,comments
251,"Beautiful and affordable furniture. Good, friendly service, always ready to help customers with any queries. Pleasant shopping experience"
252,"Simple yet brilliant modern designs. Great customer service as well.
Will be even better if more customizations (i.e more colour schemes) are allowed."
253,"Angela Nikki welcomed us to the showroom and brought us around. the service was excellent. when we needed time to think, we were given the space and she was always around when we had any questions. she was really knowledgable about the …"
254,Very comfortable and relax here. The staff is very helpful.
255,"We walked in to the Jit Poh Studio and just loved the setup. The Chelsea marble table set and Nathan sofa bed looked amazing and sturdy enough for our family! Supportive staff and very helpful 👌

Worth the time and cents 👌👌👌👌👌"
256,"It has been a fabulous and assuring experience shopping there. Consultation tailored to your needs and taste. The advices were comprehensive, customised and transparent. Kudos, Castlery. And thanks very much to Eric for the hospitality and helping us make our decision so swiftly!"
257,Spoil for choices at a reasonable price the sofa are really plush & comfy :D
258,Great service and great products! Thumbs up!
259,Spacious show room with many items in display!! Friendly consultant that help us patiently!@ We found our dream sofa!! Thank you. Highly recommend them if you are looking to furnish your home.
260,Samirah has been helping us with our choices. Thank you Castlery!
261,Feels at home in this showroom. Lots of good and classy furnitures.
262,The staffs are friendly and the sofa selection are great!!!!!! Quality and price are awesome. Thank you Alan for your service.
263,Huge but curated selection of furniture. Very good prices and helpful staff in recommending options. Highly recommended
264,"Great store, helpful staff. Full range of furniture for bedroom, living room and study."
265,My second purchase with Castlery and never disappointing. Amazing service and very beautiful collection of furniture!
266,great range of furniture to choose from. excellent service too.
267,Went here to get our furniture. The staffs are very helpful and provide good and friendly service during our visit.
268,"We have been searching for a sofa, which we can customise and elegant. We visited the Castlery Jit Poh and were greeted with the Adams range. It was just the one for us. The friendly staff walked with us explaining everything with patience and detail. Highly recommended for their good design, quality, price and friendly staff."
269,Awesome designs and excellent customer service. Will highly recommend this place to friends or relatives looking for modern home design.
270,Very pleasant in-shop experience. Thank you Samirah for your excellent service!
271,Good quality furniture with helpful and approachable staff. Purchased the Tana Sofa
272,Nice and friendly staff! Helpful and insightful. Would come again.
273,"Good ambience, well-designed furniture at an affordable price point."
274,"Friendly staff , helpful , helped us make the choice in less than an hour for our living room and dining room setup."
275,Excellent experience. Staff was attentive and knowledgeable of their products with general questions answered to good detail! Checkout process was fuss free and quick with their mobile POS systems. Highly recommended!
276,very affordable price and very good service!
277,Second time visiting the Castlery Studio at the Jit Poh building and have been very impressed with the friendliness of the staff and their help to select the best furniture for my home.  The products look and feel great and they are good …
278,"It was a great experience here at castlery, the customer service is great and the design is wonderful. My first time making the purchase here and would definitely come back. Highly recommended!"
279,"Showroom is neat and nice, a lot of nice furnitures to look at. Staffs are friendly and helpful!"
280,"We went to the Jit Poh studio and was assisted by Nikki. She's very knowledgeable and patient with showing us how we want our combinations of the dining table, chairs and bench. At the moment, the policy is flexible where you can change items up to 3 working days before scheduled delivery."
281,Great service and beautiful furniture. I would definitely recommend shopping at Castlery.
282,Big showroom with large choice of furniture. Great staff. We will come back again.
283,"Their service is excellent, I asked a question via their chat function on the website and got a response within minutes. Shortly afterwards, Sylvia followed up on my enquiry via email and she was helpful and responsive; she responded to …"
284,Great showroom with helpful staff and easy purchasing experience
285,Shopping at Castlery is a very nice experience. A great a showroom with the products nicely displayed as well as very friendly staff. Great products!
286,"Very helpful and pleasant experience while finalizing the furniture. Offered up suggestions as well on what goes well with what to see the end state. End up purchasing a complete dining set comprising of sofa, tv and coffee table! Highly recommended."
287,"What a great experience. Very nice contemporary pieces but not over designed. Quality is good, our two year old sofa is as good despite a lot of use. Not to mention really excellent customer service in store and convenient online checkout and payment. Will come again"
288,great place with great pieces and budget friendly prices.
289,"They have a wide range of well designed and moderately priced furniture, both bedroom and lounge sets. Staff members are helpful and patient in advising on selection.  Will be purchasing a few items from here."
290,"As a newly wed couple, we came down to Castlery looking for help with our purchases for our new home. We were warmly served by Samirah with our many questions on ordering, delivery and even payment. We had a great experience and would …"
291,Amazing showroom and great customer service from Nikki! Thumbs up
292,"Very good customer service, good furniture too!"
293,"Love the furniture and designs! Customer service is also great, staff was very attentive and helpful."
294,"Becca who helped us at the showroom was very attentive and helpful, making the shopping experience enjoyable and quick."
295,Huge showroom with many choices. Comfortable to shop around even with kids. No pressure from sales team from trying out the furniture. yet they are always around to help. We parked next door at the Genting building.
296,"We were received by Nikki, who has been patient and helpful with all our questions."
297,"Seems like most reviews are fake. Was planning on going down to buy a new sofa but after reading some of the negative reviews, I definitely will not be buying from them. If you look at the positive reviews, then you can see that most of these are fake. Definitely a place to avoid with a fake rating like that."
298,Excellenct customer service. Able to advise and recommend us the right product.
299,Very fast respond from customer service and arranging of delivery was very smooth..
300,Great shop and great ambience very friendly and knowledgeable staff
301,friendly staff. easy to find things and nice place
302,The prices are reasonable as compared to other similar furniture shops. The designs are trendy and modern too.
303,"It was a great experience here at castlery, the customer service is wonderful. I would re-purchase my sofa, because the quality and material is really good. Highly recommended!"
304,Evelyn's customer service skill is very good!
305,"Love the style offered here alongside the friendly and helpful service. Shoutout to Ivy, who helped talk through our furniture decisions and eventually decide on a suitable piece for our new place."
306,Excellent showroom and services! Display is very neat and clear.
307,Love the quality of their products. And staff was really helpful.
308,"Enjoyed the shopping experience and great service from the staff, especially Din."
309,A wonderful experience at the studio. A very help staff by the name Anson was outstanding. Explained all the details about the sofa that i purchased. Must come
310,Great service and decent prices!
311,Helpful and friendly staff.. With good price furniture :)
312,Wide range of products and good quality as well!
313,"Great service ! And excellent product, reasonable pricing !"
314,"Castlery always has something new to offer! Sylvia has an eye for details and would always recommend matching but unique pieces of furniture. In addition, she is professional in her service."
315,Great experience and service here. Furniture is affordable yet stylish.
316,"Visited a few furniture shops but still prefer the design and quality of Castlery, they provide great service too!"
317,Good service. Nice showroom.
318,"This is my second time visiting Castlery at their new outlet. Very nice and cosy showroom. And their products are so unique, modern and affordable. Specially their sales rep Slyvia, she is very helpful and friendly to all my enquiries."
319,Very friendly and prompt reply. Thumbs up
320,"Very helpful staff + quick delivery!

Came in looking for a sofa without a firm idea of what we wanted and the store assistant was very patient, knowledgeable on helping us pick our ideal sofa.

Overall a very pleasant experience in store and we found we wanted pretty quickly."
321,Very nice collection and the staff is very friendly 😀
322,I like the capella 3 seater because it has a nice design. It is comfortable and has pleasant looking.
323,Fantastic service provided. Angela was really patient and helpful while our family decided on the products we would like to purchase. Overall layout of the showroom is spacious and comfortable 👍🏼
324,"Fantastic Location, Great Service, Great Prices. Enjoyed purchasing my Sofa at Castlery."
325,Very nice showroom. Friendly and courteous staff. Provided insightful ideas and comments to fit the look planned for the house. Thank you Angela Nikki!
326,"Actually loved how the sofas looked and how some of them felt, but the one order I decide to place on them was sadly disappointing.

The service is professional but however, from a customer's stand point, it doesn't make any much sense.

We …"
327,"Visited Castlery studio today. Bought sofa set and bean bag. Big showroom with full range of products on display. Designs are nice and modern. Was attended by Angela, who is very soft spoken person and gave good suggestions/ideas on the range of products. Really impressed. Good service."
328,"Service from Angela Nikki is amazing, she's so friendly and helpful! :)"
329,Bought a Theo dining table. Was out and the glass shattered at home overnight. It was really dangerous.
330,Staffs are extremely friendly....products are superb. Love the experience here...! Recommended.....
331,We were served by Sylvia. She was very warm & helpful. A pleasant experience.
332,"Came here on 3 different occasions & bought 3 items.
Dining Table, Bench & TV Console.
Excellent service from the Sales staff, & they do not pressure you.
Easy parking across the road at Tanjong Pagar complex."
333,Always a comfortable and pleasant experience at Castlery. My family purchased a bed frame previously and we returned to get the rest of our home furniture. We were served by Nikki recently who was extremely patient and professional with our requests and questions.
334,"Just visited their showroom at Jit Poh. Nice collection of different furniture. Store was a bit empty, may be due to ongoing Covid-19 situation and a weekday. Customer service staff is very friendly. The furniture designs are good and the price is reasonable as well. Unfortunately, not negotiable. Still worth the price."
335,Very nice collection of modern sofa sets! Din is very knowledgeable and helpful.
336,Great store with amazing furniture and lovely service! Highly recommended!
337,Very friendly and helpful staff! Many beautiful and high-quality pieces to choose from but got my stuff within an hour with the sales personnel's help! awesome :)
338,"I'm very happy with the service rendered at Castlery. Staff were very helpful to give advice on how to decorate my scandi theme house. Most importantly prices are very reasonable for such wood theme designs.
Despite the impact of covid many …"
339,"Pleasant and helpful staff with absolute patience in serving. Thank you, Ivy."
340,Angela from Castlery has been a  tremendous help and of very good service.  She is attentive to details and have helped my family guide us on  the perfect furniture for their new home. I highly recommend Castlery to people out there looking …
341,Sylvia was very helpful in her advice and recommendations.
342,"My husband and I love their designs online, so we went down to their Jit Poh studio for the hands-on experience. We absolutely love their service, attentiveness and product knowledge."
343,Always get inspiration whenever I visit this place. Samirah is always super helpful with recommendations and tips. And the quality and feel of the furniture here is exactly what I like.
344,Big exposition hall. Good quality product at affordable prices. Great costumer service. Highly recommend. We will shop here again.
345,What a lovely Sunday morning treat to walk into Castlery showroom. Good service too. Am so happy to see furniture that suites my budget.
346,Cozy and friendly staffs!!! Smooth transaction. Definitely will be back if need something 🙂
347,"Love the sofa and the satffs are super friendly, look for Din and Nevil, they will help you choose the right one. Home sweet home"
348,Din was very helpful in attending to our request and enquiries. He is also very knowledge and is able provide us with detailed information of the products we enquired on.
349,Very good service n nice furniture.
350,It was a pleasure to have Din served us at Castlery. He was patient to all our questions and doubts. The furnitures look marvelous with a good price point. Love it.
351,Very warm welcome. The studio display is great and does offer a lot of choices. You can try these and appreciate what it would look like in your own home. Support is great and pro. Very good experience
352,my experience here was amazing and the price was reasonable. The place is nice and modern
353,The staff are very helpful and went to extra length to help you with making the right choice. They are also not pushy and let you to take your time in deciding.
354,I am very satisfied with the designs of the furniture - they are aesthetically beautiful and are ergonomically-designed.  They have helpful staff too.
355,"Awesome shopping experience, working staffs are very helpful in providing insightful ideas on beautifying our home with the furniture on sale. Highly recommended!"
356,love the design of the studio! managed to get the furniture I wanted! Great service! great design!
357,"I had an extremely pleasant experience over at Castlery Showroom as we were able to roam and try out the furniture freely, but help is immediately rendered upon request. Staff were super friendly and kind too. The showroom indeed feels like a home. Thank you for the warm hospitality."
358,We were looking for dark wood dining table and the variety and design in Castlery fits everything we are looking for.
359,"Brought a dining table and tv console!
Great service!"
360,Waiting times are a little long. But we'll worth the wait.
361,Showroom with nice ambiance and service staff was friendly and helpful with our selection.
362,Din was extremely patient and helpful during my recent visit to the show room. Excellent product knowledge & great customer service.
363,"Place is conducive for selection...Friendly, knowledgeable and helpful staffs. Best choice thus far!"
364,I fell in love with so many pieces at the Keppel Road showroom and it was really hard to choose! Sylvia was super helpful in helping me decide on the pieces over my decision making process which took 2 weeks of consideration. I definitely recommend Castlery for affordable and timeless furniture items! Service is also incredibly good!
365,Excellent service by Ivy. Happy shopping
366,Great ambience and wide selection of furniture. Staff were attentive and ready assist our queries.
367,Big and spacious area to shop for furniture.  Many designs to choose from.  Customer service is excellent.  Informative and friendly staff.  Highly recommend for furniture hunting
368,"Good ambience.
Really like the sofas here."
369,I love castlery. They have a wide range of very nice and modern design of furniture. All the staff there are very knowledgeable and friendly especially Din and Sylvia U will not feel alone and in doubt. Superb showroom. Nice and cosy. Bought a dining table. Sofa. Cutlery set. Will be back for more.
370,"Excellent service, beautifully designed furniture at very accessible prices. Can store our purchase for up to two months after delivery date. 👍🏼👍🏼"
371,Variety of choices. Great ambience. Pleasant shopping experience.
372,Please contact me for more details. We are very disappointed with Castlery and their delivery team! I want a replacement for this purchase.
373,"We bought the Todd Chaise Sofa from Castlery, Nevil has been a great help providing us with great advice on which fabric to choose from and how to align our sofa with our coffee table. Great experience today with Nevil, thanks for your help!"
374,Staff are very friendly and helpful. Location is easy to access.
375,It is a cozy place to shop for furniture. The designs are modern and suit what we are looking for.
376,the selection of furniture was quite extensive and the staff (Ivy) was extremely helpful and patient in explaining the different designs and delivery times. we had a good experience shopping at Casterly!
377,With so many beautiful designs available I'm spoilt for choice to choose. I was torn between the miles and seb series but decided to go with the lighter wood shade. Really appreciate Sylvia's help in assisting me throughout the process. I feel much more assured with my purchase!! Thanks 👍
378,The staff here are incredibly friendly and helpful. Items are reasonably priced. I would definitely be coming back here again to look for more furniture products.
379,"Received the Alex Bean Bag, Grey.  True to color.  Tall, stuffed appropriately.  Flexible, can be use in every way you can think of.  Material is nicely sewn.  Ruggedly fit my small living studio."
380,"Great selection of furnitures and table wares, good quality materials that are at the same time affordable. I have purchase both via online and at the retails outlet and enjoyed the fact that it’s hassle free and prompt on the delivery. The staff at the outlet here is friendly and clear with their information. 👍🏼"
381,Awesome shopping experience at castlery. Staff are friendly and proactive in providing insightful ideas for our new home. Highly recommend!
382,The studio is pretty and affordable. The consultation is good and very patient with us when we walk up and down just to pick the perfect one that we had in mind. :) highly recommended to come if you are looking for a classy and minimalist design furniture👍👍
383,Really love the affordable and beautiful designs that Castlery provides. Amazing retail store experience. Will be back.
384,"Furniture has good design and affordable price. Great assistance from staff.

Showroom has a variety of pieces for you to compare."
385,The best furniture store ive went in singapore. Nothing can match the atmosphere of the studio. All staff are friendly and well trained. Furniture are stylish and pretty. Prices are not high
386,The customer service is superb! The selection and quality of furnitures are wonderful. Would definitely come back for more furnitures as and when I need one. ☺️
387,"First time at Castlery. The experience has been good. Service staff are knowledgeable and helpful. Waiting to receive my orders and if all go well, will return again."
388,Gorgeous furniture pieces and  excellent customer service. Thank you for accommodating me :)
389,I had a wonderful experience in the showroom today. Jacob was friendly and extremely helpful to me. Would definitely frequent here for future needs.
390,Beautiful showroom and friendly stuff! I was able to find all the pieces in the website.
391,"Great experience! Amazing furniture, that fits all styles... various collections that give food for thought when choosing your future home..
Staff was knowledgeable and helpful; try to meet all expectations for the customer"
392,Store has wide collection of furnitures. Do visit this show room to try them out
393,"Great shopping experience. The staff, in particular Nevil & Ivy, were really patient and helpful in ensuring we are able to get our friends' clarifications sorted out and logistics arrangement done smoothly. Definitely a place worth …"
394,Nice friendly showroom - service staff very helpful!
395,"Big show room, friendly staff to help us with selecting our furniture. Lots of choices, a great place to dress up your home!"
396,Excellent customer service!! Great line of products.
397,"Love the decor, friendly stuff. Spacious showroom and a variety of stylish designs. Ivy did an amazing job in assisting us! Def coming back here for more furniture."
398,Nice experience with the sales team and good options to look.
399,Showroom team was super helpful and prompt to revert on enquires. Sales Manager Ivy was very professional and helpful.  Selections and design of their product very attractive. Online purchase was easy and straight forward.Thanks team for making our purchase seamless.
400,"Ivy assisted us in the purchase of a sofa set. Though we had quite a few criteria and budget for various items, she patiently assisted us and provided alternatives. Thanks Ivy."
401,Very helpful with the advise on the selection of chairs and benches to match our selected dinning table! The studio is also very pleasant and easy for our viewing and selection. Great experience in overall! Thank you
402,Elegant and delicate designs. Great quality and price.
403,Very Good service and nice range of products
404,Modern chic furniture with good variations @ good rpices
405,Great service and awesome furnitures!
406,Nikki is very helpful. Excellent product knowledge and sales support.
407,Bought the Alfie couch and Adams Chair. Really love both of them. Found the staff very helpful!!! Thank you!!
408,"Commendable service. The staff was friendly and professional, made the purchase smooth and easy."
409,"I want to say that I am very satisfied with the sofa and dining table that I bought today. Good quality, solid wood and sturdy."
410,Superb place to shop. Definitely recommended. Cosy environment...
411,Love the minimalist concepts and designs. The funitures are beautiful.
412,"Castlery, Thumbs up for their great customer service."
413,Reasonable pricing furniture. No parking in the building for public.
414,"Lovely showroom with a great variety of furniture. Service was excellent, with good recommendations on pieces that will go well together. Looking forward to receiving them!"
415,"Great quality of furniture with amazing service provided!
Love that we are able to customize our furnitures to suit our home decor! 🥰"
416,I was looking for a bed frame at Jit Poh studio and assisted by Mr Anson Pang. He was very helpful and patient in addressing my questions. I ordered the Adams bed frame thereafter. My overall impression of Castlery- great service and stylish furniture. Will purchase again in the future.
417,Great experience! High quality products.
418,"Had a great shopping spree at Castlery for our new home. The staff was really friendly and flexible in allowing us to move around their furniture and decor to create a customised look for our living room in their Jit Poh store. For higher quality and chic furniture, Castlery prices are a steal."
419,The experience shopping here is really pleasant. Love the customer service. Thank you Nikki for being very helpful.
420,Excellent shopping experience. The staff is friendly and provide prompt assistance. Looking forward for my new sofa~~
421,awesome location at Jit Poh w awesome service by Din who was so patient and conscientious in his service
422,Convenient location. Salesperson Din is a very friendly and helpful individual who takes time to understand the needs of his customers. I left as a satisfied customer and can't wait to receive my products.
423,good collection of stylish and modern furniture and knowledgeable and friendly staff
424,"Great service, trendy furniture, central location."
425,"Great designs, good value and great service."
426,Bought the Seb bed frame and absolutely love it as it matches the design of the room. It’s sturdy and value for money!
427,"Pleasant and comfortable place to shop for mid level furniture accompanied with jazzy background music.

Dining tables are the ace of the cards in my opinion.
Made of solid wood and affordable.

Drivers take note. No parking in the building and nearest parking is one street away."
428,Good quality furniture at affordable prices! Friendly staff that allows you to shop freely in store and attend to you when help is required. Thumbs up!
429,"Plesant place. Easy access. Simple and unique furniture. The salesperson, Eric, is friendly and helpful. Able to answer all my queries and good advices ◡̈"
430,"Nice ambience and good selection of furniture, with excellent customer service and very helpful staff member (Slyvia). Will highly recommend to others!"
431,"Great experience at their showroom. Love the design of their furnitures, modern and stylish. Special thanks to Sylvia, she is so friendly and helpful!"
432,Good location  easy accessible. Nice showroom
433,Staff are attentive and knowledgable about products. Friendly. Great showroom.
434,"Showroom is very spacious and bright. Good setup of the furniture for easy visualisation.
Staff were very polite, helpful and constantly checking if we are ok. Looking forward to having our new purchases in our new place."
435,great service and recommendations by Benson. appreciate it! will be back!
436,Stylish and cozy studio with very friendly and professional staff. Nikki was absolutely lovely and helpful.
437,A good range of contemporary designer sofas at reasonable prices.  Good customer service.
438,"Great customer service! Sylvia took her time as we weren't entirely sure what we wanted, gave us great advise. Would definitely recommend Castlery and once there ask for Sylvia!"
439,Great service provided... Thnx Najib...
440,Browsing furniture here at Jit Poh Studio is easy. The staff are friendly and would take time to provide recommendations on the various types of furniture we are looking at. Service is great!
441,I went to the store to have a look of the staff that I was planning to order. It was a great shopping experience as Ivy Diaz helped me with the details and the delivery information. It really gave me a peace of mind . It was awesome !! Looking forward to be back !!!
442,Good quality furniture. They don't have many colour options but price/quality ratio is really good.
443,"Nice showroom, we immediately found what we are looking for.
Sales people are helpful and efficient. Will come back for more :)"
444,Cosy showroom & great selection of products!
445,Really good in-store service and the showroom displays most of the large furniture which helped us significantly in our purchase!
446,"Excellent customer service, answered all my queries and was helpful"
447,The staff are very helpful.  They also good recommendations and ideas. We have been to a few places and have finally found the couch that we want. The concept and furniture in this place is worth checking out!
448,Lots of great quality items and they are priced very reasonably as well. Staff was also very friendly and attentive. Thank you for a great experience!
449,"We went to the Jit Poh studio and was assisted by Nikki. She's very knowledgeable and patient with showing us how we want our combinations of the dining table, chairs and bench. At the moment, they have a promotion tiered discounts during their anniversary."
450,Excellent service. Beautiful furnitures at very good prices. Highly recommend.
451,Reached office at almost closing hours but was still enthusiastically served by Din! Was a quick and pleasant experience in the ordering process and loving the products we bought!
452,Very nice place and the customer service is great!
453,It was a great experience shopping at Castlery. Products are well-designed and service provided was wonderful. Looking forward to receiving our items. 👍👍👍
454,"We bought a living room sofa set.  Salesperson Ms Ivy was most helpful and courteous.  Providing us with an exceptionally pleasant experience .
Love their products!  Highly recommended."
455,Pleasant and professional service provided by the staff. Bought a set of dining table and chairs on the spot. Good prices offered for the quality. Will recommend!
456,"Staff who attended to us was helpful, friendly and informative. Delivery was arranged quickly and hassle-free, within a week of purchase. Yet to try out their products, but products we bought were aesthetically pleasing and timeless."
457,Was referred by a friend and decided to make the trip here. Totally impressed with the products and services provided! Must come.
458,"Came down to Castlery during the Black Friday sale and got the Adams Bed on discount. Great service by Alison who helped us to secure the bed in our desired configuration, thanks to the team!"
459,Great service! Friendly staffs. Great furniture
460,An array to choose from - very classy designs at affordable tags!
461,"The showroom was great and there are tons of selection to choose from but the staff made the overall experience outstanding! Very helpful, knowledgeable and patient towards my inquiries."
462,New furniture designs added frequently at affordable price. Good place to shop for your home renovations
463,"Quality for money , very good customer service and wide variety of choices for all your needs and personal taste. The option to customise with different colours is amazing also , i would recommend Sylvia , very helpful and knowledgeable"
464,Primarily wood series which really suited our scandi theme. Love the quality and friendly staff. Highly recommended!
465,This is my first purchase at Castlery.   Made my purchase directly from the showroom.   The team at castlery is very well trained and they know their products.  Samirah attended to me.  Attentive and good service.  Thumbs up!!!  Grace 9 October 2020.
466,"Great experience at the studio with helpful staff, love it"
467,Had a pleasant shopping experience at Castlery today. Ivy was very helpful is assisting us with the selection of the furniture and all other queries we had. She also helped us to edit the delivery date such that it coincided nicely with the end of our renovations! Thank you Ivy!
468,Good service and helpful staff! Happy with the purchase and help from Eric and Jacob!
469,Amazing service from the staff at Castlery. Very friendly and patient with the the questions I have.
470,Excellent service and great buying experience!
471,Feel good and relax browsing thru the stores.
472,"It is  a good experience at Castle which is my first visit. Good customer service, patience, and friendly, especially Samriah 😊. Did an instant purchase as the furniture is trendy, sturdy and value for money. Way to go Castle.

Look forward to visit Castlery again at Keppel"
473,Great furniture options and very helpful staff :)
474,"a wonderful showroom with helpful and patient service staffs explaining and assisting us on our purchases, especially Nikki. She is sweet and good to advise on our needs."
475,i have a pleasant experience at the showroom. the staff is helpful.
476,Affordable & aesthetic furniture with the best customer service in store! Highly recommend.
477,Many nice sofa available and we ended up buying our sofa set. Staff are helpful and friendly.
478,Great showroom. Service staff is good.
479,Found our ideal dining table for a great price! Customer service was really great too. Very pleased & highly recommend.
480,Spacious venue with a variety of furniture. Friendly and attentive staff. Nikki and Evelyn were especially helpful showing us different types of furniture and their features.
481,"We are very happy with Castlery and Castlery's customer service. They are fast, professional and very friendly. We wanted to exchange a table which we purchased from them amongst other items. They were very helpful and polite about it. Even …"
482,Great experience at the store. Sylvia guided us through the store and gave us help and recommendations. Very patient and helpful.
483,Great stuff and wonderful service. Bot our sofa from Castlery 6yrs ago and we are back again!
484,Love the  furniture design expecially the dining table  and tv console. It really suit our new house theme. All the staff are super helpful and friendly and patience. No pressure and we able to make a great decision on our purchase. Thanks
485,"It’s a great place!! Lots of inventory with great pricing! And top it off with a great support from Sylvia, she is very proficient, and helpful!"
486,"Castlery is always one of my TOP choice and I was happy to be here today and bought what we wanted for our future house.

Thanks Nevil for the patience and explanation, we will definitely come again 😀"
487,Nice environment and staff here can very helpful.
488,awesome shopping experience! made everything so easy and fuss free for me. would highly recommend to my family and friends. Got super friendly sales staff as well and the ambience in the showroom is wonderful.
489,Had a wonderful experience.  Was served promptly when we requested for help.  Gave good suggestions in terms of colour and choice of cushions to give a good aesthetic overall look.  Looking forward to our new purchases.
490,"A lot of nice furnitures
Friendly staffs"
491,"first time coming to Castlery showroom.
great coming to see the real furniture.
staff Ms Ivy is friendly and nice.
Managed to buy our ideal dinning table for our new house"
492,"Nice showroom with great ambience, helpful and friendly staff as well :)"
493,Enjoyed my experience. Do not feel pressured and staff are friendly and helpful.
494,"Rainnudin  provided  us an excellent service . He was really knowledgable about the products which we appreciate it, besides this he was able to provide interior design tip and help us blend the colours well in order for us to visualise the …"
495,very nice and big showroom. friendly service
496,"Very good customer experience,  sales assistant go all out to ensure we got what we want"
497,All the displays in store are beautiful and we just enjoyed shopping with a very personalized service. Pricing is reasonable (actually cheaper compared with the quality) and website was easy to view/use. Thanks for the experience!
498,"amazing products, great service! Manage to get a suitable sofa for my new house. Highly recommended!"
499,"Nice showroom,  good display and friendly staffs"
500,Very friendly and helpful staff and nice design. I wish to give 6 stars instead of 5. Cheers
501,Calming and nice place. The only downside is the parking. Need to park at ABI Plaza Carpark.
502,Very good service. Good quality furniture. Highly recommended.
503,Great place to shop for furniture. Great design!
504,"Great service, fuss free. Worth a pop by the showroom as well."
505,"Good variety of furniture for viewing. My family and i were served by Din. He was very patient, detailed and has a good understanding of the products. Highly recommend."
506,Good contemporary designs. Love the ambiance here. Friendly staff. Ms Angela Nikki was a sweetheart and assisting us to make a informed decision.
507,Very good customer experience in their showroom. Thank you to Eric for assisting us 👍 Nearest parking is Southpoint building. Suggest to come and see early as delivery may take 2-3 months depending on the item
508,"Huge place with contemporary designs! Came with my 2 young girls and they loved it here. Ordered sofas and keen on dining table, TV console next!!!"
509,Great studio and nice customer service
510,"Great and presentable showroom, good and fast service 👍🏼"
511,Awesome furniture with friendly service helping you in choosing the perfect addition for your home.
512,"Went in to buy new sofa, service is good and very good quality👌."
513,Rainuddin is very helpful. He even moved the chair around as I was looking to mix and match the dining bench and chairs. Love the quality of the materials.
514,"friendly staff, helpful.... great prices"
515,Super friendly and helpful staff (Sam)! We were able to find many of the pieces of furniture we needed and arrange for delivery! Transaction was quick and easy!
516,"We have purchased the sideboard in September should receive it 22-29November on 20th (after sending enquiry)  we were told that there is no information when the shipment will arrive :/
What is more...  during purchase we were told by store …"
517,Huge range of furnitures from modern to Scandinavian and more. Our second purchase from the store for our new home. Friendly staff and showroom cosy.
518,I like their services. It has a studio eventhough I can buy online.
519,Classy pieces at reasonable price!
520,Excellent service by Ivy! Very friendly and great experience. Great quality furniture
521,Had a wonderful experience at the showroom. Many products on displayed. Staff were friendly and helpful!
522,Great service and good quality!
523,very helpful staff at castlery. good quality furniture too
524,Very nice experience. All the staffs are very helpful and friendly.
525,Really nice experience in my search of a perfect living for my family! Love it! Profesionals and nice people will take care of you!
526,"We furnished our home with Castlery furnishing. We love the style and functionality of the pieces they have available. We are moving and went back to Castlery. Nothing vouches your products like return customers! :) Look for Nikki to help you! She is knowledgeable, professional and very helpful!!"
527,"Nikki De Grano was lovely, she shared her ideas and assisted us to finally decide on what would suit our needs."
528,Very good place for furniture shopping and inspiration
529,Great shopping experience with extremely attentive staff! I easily spent a good two hours here perusing the thoughtfully designed furniture. Definitely worth stopping by their showroom.
530,Great looking furniture at reasonable prices. Friendly staff as well who are proactive!
531,"The sales staff was super helpful in helping me decide the items I needed for my living room and dining room. They were so informative in helping me make a decision on the types of configurations available for my space.
Thanks!"
532,Great experience on my visit. Team of staff very helpful.
533,Smooth shopping experience. Lots of variety. We checked out online for items that we were interested and came down after. Angela was extremely helpful and patient.
534,Good service provided by Angela.. The showroom also is neat and we managed to take a look at all the furnitures we shortlisted and eventually purchased them.
535,Service at Castlery’s showroom at Jit Poh was top notch. Nikki answered all questions and service was impeccable.
536,"Great showroom, friendly and prompt service. Be sure to come by to visit before buying online. Helps a lot in the decision making."
537,I love the ambience of the place. Makes me want to buy everything here.
538,Great customer service by Sylvia. She was so friendly and helpful. Thank you for helping us choosing the right sofa! :)
539,"Today i visited Castlery at Keppel Rd, it was my 2nd time visiting this place. Very organized and there are many quality furniture to choose from. Quality seems very good. Sylvia was very helpful and kind with smile,, great experience to shop at Castlery. Highly recommended if you are hunting quality furniture!!"
540,Well made furniture at great prices!
541,Great knowledge of their products and wonderful personal service during our visit! Spacious and comfortable showroom to test pieces on display. Measuring tape available for temporary loan!
542,Great atmosphere. Quality and designs are good. Prices match with quality
543,Jacob provide a good service to us and help us with lots  of design tips. He is extremely  knowledgeable.
544,Continue good service after several visit. Able to provide good recommendation n know the product very well. Like the design of all the sofa.
545,Good service by Nikki. Pleasant environment for browsing furnitures
546,Crowded on weekends but wide selection and friendly staff! Sets on display are limited but got the feeling that staff are pushing us to visit their online store which has much more selections. Pleasant experience will come visit again for new ideas and products!
547,Great experience at the store.  The staff was helpful and friendly and look forward to enjoy the sofa and dining table.
548,"Good, friendly and professional staff help us around at the store."
549,Really pretty studio and the staff is very helpful!
550,Great overall service. Price is reasonable or good quality products.
551,Great service. Polite and helpful staff
552,Excellent service with good design considerations shared. Ivy was most patient and attentive to our needs. Very nice furniture with flexible combinations too. Highly recommended!
553,"Good concept but poor execution. Recently purchased a castlery mattress and after only 6 months of suffering, had to bite the bullet and buy a new, better quality one. I’ve had cheap mattresses in the past, from places such as IKEA, but …"
554,Great place to shop and friendly staff
555,Great store with great selection. Staff was extra friendly and very helpful and patient!
